KUNNR,SALES_AREA_KUNNR,HKUNNR,SALES_AREA_HKUNNR
0000100184,00201010,0000556726,00201010
0000100185,00201010,0000550126,00201010
0000100186,00201010,0000554359,00201010
0000100187,00201010,0000550999,00201010
0000100188,00201010,0000501145,00201010
0000100189,00201010,0000550999,00201010
0000100190,00201010,0000500877,00201010
0000100191,00201010,0000500877,00201010
0000100192,00201010,0000550249,00201010
0000100193,00201010,0000500877,00201010
0000100194,00201010,0000500877,00201010
0000100195,00201010,0000500877,00201010
0000100196,00201010,0000550249,00201010
0000100197,00201010,0000550249,00201010
0000100198,00201010,0000550126,00201010
0000100199,00201010,0000500877,00201010
0000100200,00201010,0000550126,00201010
0000100201,00201010,0000500884,00201010
0000100202,00201010,0000500008,00201010
0000100203,00201010,0000500008,00201010
0000100204,00201010,0000550126,00201010
0000100205,00201010,0000578886,00201010
0000100206,00201010,0000550126,00201010
0000100207,00201010,0000550445,00201010
0000100208,00201010,0000550126,00201010
0000100209,00201010,0000550126,00201010
0000100210,00201010,0000550285,00201010
0000100211,00201010,0000500009,00201010
0000100212,00201010,0000500329,00201010
0000100213,00201010,0000501381,00201010
0000100214,00201010,0000578916,00201010
0000100215,00201010,0000557846,00201010
0000100216,00201010,0000557846,00201010
0000100217,00201010,0000557846,00201010
0000100218,00201010,0000501330,00201010
0000100219,00201010,0000500382,00201010
0000100220,00201010,0000549584,00201010
0000100221,00201010,0000602434,00201010
0000100222,00201010,0000550136,00201010
0000100223,00201010,0000558613,00201010
0000100224,00201010,0000550147,00201010
0000100225,00201010,0000500010,00201010
0000100226,00201010,0000500010,00201010
0000100227,00201010,0000550126,00201010
0000100228,00201010,0000500011,00201010
0000100229,00201010,0000500011,00201010
0000100230,00201010,0000550283,00201010
0000100231,00201010,0000550126,00201010
0000100232,00201010,0000500009,00201010
0000100233,00201010,0000550269,00201010
0000100234,00201010,0000500435,00201010
0000100235,00201010,0000500435,00201010
0000100236,00201010,0000500435,00201010
0000100237,00201010,0000500435,00201010
0000100238,00201010,0000500435,00201010
0000100239,00201010,0000550579,00201010
0000100240,00201010,0000500435,00201010
0000100241,00201010,0000550579,00201010
0000100242,00201010,0000550147,00201010
0000100243,00201010,0000578320,00201010
0000100244,00201010,0000501330,00201010
0000100245,00201010,0000566861,00201010
0000100246,00201010,0000550251,00201010
0000100247,00201010,0000550126,00201010
0000100248,00201010,0000550126,00201010
0000100249,00201010,0000550126,00201010
0000100250,00201010,0000500012,00201010
0000100251,00201010,0000555886,00201010
0000100252,00201010,0000550999,00201010
0000100253,00201010,0000550999,00201010
